Class,global_iou,global_dice,global_pixel_acc,total_gt_pixels,total_pred_pixels,pixel_diff,pixel_diff_ratio,mean_iou_per_image,std_iou_per_image,mean_dice_per_image,std_dice_per_image,mean_pixel_acc_per_image,num_images
finger-16,0.8225492640872843,0.9026359729147945,0.9998070135712623,646570,683603,37033,0.05727608766258785,0.8197780158427058,0.03900201513292013,0.9004513779427435,0.023971824768946236,0.9998070135712623,160
finger-17,0.8652101285112738,0.9277347525469909,0.9997738301753998,1033820,1066498,32678,0.031608984155848875,0.8630462771697924,0.03094039985249343,0.9261879579472051,0.018158098055606565,0.9997738301753998,160
finger-18,0.9218653946766034,0.9593443924117565,0.9997151479125023,2321348,2380611,59263,0.025529562995294006,0.9212174195272382,0.013048925608273407,0.958945101207543,0.0071127705342606375,0.9997151479125023,160
finger-19,0.9346152588694412,0.966202716105543,0.9995976880192756,3972726,4015697,42971,0.010816502321076232,0.9344345557550398,0.01080118368869196,0.96607385260698,0.005783525881947925,0.9995976880192756,160
Trapezium,0.8418512850782641,0.914136002074122,0.9995923697948456,1536515,1649407,112892,0.07347276141137526,0.8421044075695889,0.04212489133553463,0.9137043441562854,0.025416833038318987,0.9995923697948456,160
Trapezoid,0.7929407059293998,0.8845141429463683,0.9996605694293976,937323,1035109,97786,0.1043247631819543,0.7943807742636111,0.05809494266011551,0.8842110973341633,0.03705757458146275,0.9996605694293976,160
Capitate,0.8877642110801905,0.9405456527562902,0.9995423048734665,2528920,2637296,108376,0.04285465732407493,0.8879563618140918,0.02814169780908795,0.9404157843072707,0.015949616902101022,0.9995423048734665,160
Hamate,0.8656891284075116,0.9280100475757548,0.9996115446090699,1822214,1798958,-23256,-0.012762496611265127,0.8655559586938342,0.038868146686499204,0.9274589895890827,0.022787834955170692,0.9996115446090699,160
Scaphoid,0.891525275711011,0.942652247008323,0.9997001543641091,1728728,1780093,51365,0.029712597933277938,0.8915429410900373,0.0269443889661523,0.9424431237077616,0.015380306885375002,0.9997001543641091,160
Lunate,0.8718382883416367,0.931531632589956,0.9997162282466888,1381905,1399467,17562,0.012708543640843527,0.8730735678545966,0.03193013118487502,0.9319230125026923,0.018381199744005296,0.9997162282466888,160
Triquetrum,0.8471146359708651,0.9172301702060974,0.9997015461325646,1177448,1242383,64935,0.05514893226707205,0.8475636934075041,0.046376945714369844,0.9167657101347213,0.02907179181655773,0.9997015461325646,160
Pisiform,0.769151003928432,0.869514249739585,0.9997067466378212,725607,782596,56989,0.07853976050396318,0.7721292408375103,0.09151645145848304,0.8681951470883081,0.06252179706280032,0.9997067466378212,160
Radius,0.9639744122019906,0.9816567937065851,0.9993253111839294,12293504,12390076,96572,0.007855530855970757,0.963685705254916,0.00719255287520795,0.9814933232849612,0.0037542791777652653,0.9993253111839294,160
Ulna,0.950418809857267,0.9745792083771171,0.9995068669319153,6476195,6542125,65930,0.01018036053577755,0.9497653526081559,0.00998798196416135,0.9742085682818569,0.005265672525390928,0.9995068669319153,160
